name,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9
3-Hydroxydodecanedioic acid,5.98E-06,5.78E-06,6.63E-06,5.48E-06,4.56E-06,6.74E-06,7.81E-06,6.46E-06,1.14E-05,3.88E-06,4.50E-06,5.35E-06,6.66E-06,5.40E-06,4.39E-06,4.92E-06,5.52E-06,5.91E-06
Chrycolide,4.07E-06,4.25E-06,5.87E-06,5.20E-06,4.97E-06,5.46E-06,5.86E-06,5.22E-06,5.47E-06,5.67E-06,4.93E-06,4.66E-06,5.10E-06,5.38E-06,3.91E-06,6.33E-06,5.16E-06,5.49E-06
Oxyphenonium,4.50E-05,4.14E-07,2.28E-06,4.45E-07,1.41E-06,2.25E-05,2.14E-06,4.67E-07,4.26E-07,1.41E-08,1.76E-08,1.64E-08,3.05E-07,2.15E-09,6.02E-08,1.52E-09,0,2.36E-08
Valproic acid glucuronide,4.10E-05,4.12E-05,3.47E-05,1.07E-05,3.76E-06,3.39E-05,2.31E-05,3.43E-05,5.52E-05,7.53E-06,2.51E-05,1.94E-05,1.57E-05,1.97E-05,2.49E-05,4.50E-07,3.76E-06,2.16E-05
Docosanol,5.74E-06,3.93E-06,5.29E-06,5.36E-06,6.38E-06,5.41E-06,6.27E-06,4.60E-06,4.70E-06,4.27E-06,4.47E-06,3.68E-06,4.21E-06,4.61E-06,4.16E-06,3.78E-06,4.85E-06,3.82E-06
"3,4-Dimethyl-5-pentyl-2-furanundecanoic acid",7.20E-06,7.55E-06,7.97E-06,6.70E-06,4.90E-06,6.38E-06,6.29E-06,5.39E-06,5.69E-06,4.53E-06,3.51E-06,1.86E-06,2.61E-06,4.26E-06,3.94E-06,3.77E-06,3.69E-06,4.20E-06
Taraxacolide 1-O-b-D-glucopyranoside,0.000133732,6.75E-05,5.74E-05,0.000174067,0.000155045,8.53E-05,7.71E-05,9.48E-05,8.58E-05,5.63E-05,2.87E-05,2.32E-05,2.99E-05,4.59E-05,4.75E-05,4.35E-05,3.47E-05,3.44E-05
Medicagenic acid beta-maltoside,2.22E-05,2.78E-05,2.63E-05,2.13E-05,1.65E-05,2.13E-05,2.50E-05,2.23E-05,2.29E-05,1.36E-05,1.37E-05,1.37E-05,1.59E-05,1.33E-05,1.35E-05,1.37E-05,1.74E-05,1.72E-05
2-Carboxy-4-dodecanolide,4.31E-06,5.70E-06,3.53E-06,4.48E-06,6.46E-06,4.22E-06,5.28E-06,3.89E-06,6.25E-06,5.02E-06,4.90E-06,4.42E-06,5.59E-06,8.77E-06,3.78E-06,7.37E-06,9.12E-06,4.39E-06
"PGP(16:1(9Z)/20:3(5Z,8Z,11Z))",5.97E-06,1.07E-05,1.52E-06,2.04E-07,3.28E-06,7.35E-06,8.58E-06,1.21E-05,2.94E-06,1.03E-05,8.75E-06,2.83E-07,8.02E-06,3.35E-06,5.82E-06,7.98E-07,4.71E-07,3.18E-07
Leukotriene E4,9.57E-06,1.18E-05,2.04E-05,4.45E-05,1.64E-05,2.94E-05,9.58E-06,1.53E-05,4.30E-06,4.85E-06,3.93E-05,4.32E-05,1.46E-05,1.95E-05,1.41E-05,7.52E-05,5.26E-05,9.04E-06
Americine,5.17E-07,4.26E-07,3.86E-07,5.76E-07,9.92E-07,9.38E-07,3.96E-06,3.28E-07,1.61E-07,3.22E-06,1.93E-06,3.83E-07,4.10E-08,3.48E-06,3.40E-07,3.56E-06,2.88E-06,4.54E-07
Valyl-Aspartate,6.70E-06,1.63E-05,2.09E-05,5.99E-06,3.17E-06,2.09E-05,2.11E-05,1.51E-05,1.81E-06,3.35E-06,4.39E-06,3.20E-06,2.21E-06,4.24E-06,1.15E-05,2.09E-06,1.63E-06,4.20E-06
Glucosylisomaltol,0.000262516,0.000257495,0.000234803,0.000287025,0.000374437,0.000239504,0.00020399,0.000274162,0.000284453,0.000428682,0.000493025,0.000234153,0.000258932,0.000335136,0.000288673,0.000303122,0.000262479,0.000382124
"24,25-Dihydroxyvitamin D",0.000508889,0.000307457,0.00069639,0.000206687,0.000184764,0.00054638,0.000923619,0.00041764,0.000155324,0.000232163,0.000258954,0.000797952,0.000304719,0.001049675,0.00081758,0.001328266,0.001453596,0.000676032
di-Hydroxymelatonin,2.92E-06,3.17E-06,5.50E-06,7.68E-06,1.41E-05,6.19E-06,8.34E-06,7.06E-06,3.30E-06,1.48E-06,1.22E-06,3.42E-06,5.58E-06,1.04E-05,6.36E-07,5.61E-06,1.30E-05,6.83E-06
Toxin T2 tetrol,1.16E-05,1.34E-05,8.43E-06,1.14E-05,7.82E-06,1.12E-05,7.68E-06,1.21E-05,9.18E-06,1.05E-05,1.05E-05,1.18E-05,7.64E-06,1.18E-05,1.23E-05,8.41E-06,7.43E-06,1.02E-05
Geranyl acetoacetate,3.23E-05,3.72E-05,3.47E-05,3.67E-05,3.18E-05,3.41E-05,3.22E-05,3.14E-05,2.20E-05,3.83E-05,4.57E-05,3.79E-05,3.28E-05,3.68E-05,4.67E-05,3.61E-05,3.48E-05,2.86E-05
Norendoxifen,1.17E-05,5.77E-06,4.58E-06,1.02E-05,2.03E-05,7.89E-06,8.60E-06,1.15E-05,9.40E-06,3.18E-07,4.56E-07,2.43E-07,4.29E-07,7.86E-07,5.16E-07,6.70E-07,1.51E-08,4.06E-08
4-Hydroxybenzyl isothiocyanate rhamnoside,9.98E-06,1.05E-05,9.87E-06,7.79E-06,1.26E-05,7.72E-06,9.93E-06,8.12E-06,8.52E-06,7.06E-06,9.68E-06,1.29E-05,8.32E-06,8.63E-06,1.05E-05,8.33E-06,7.48E-06,9.31E-06
Myricanol 5-(6-galloylglucoside),4.38E-06,4.36E-06,4.21E-06,7.15E-06,6.80E-06,6.23E-06,3.56E-06,5.33E-06,3.85E-06,4.34E-06,5.17E-06,5.18E-06,3.84E-06,4.80E-06,3.23E-06,3.91E-06,3.97E-06,3.76E-06
Mucocin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxybuprocaine,2.26E-06,2.66E-06,3.48E-06,0,1.58E-07,4.34E-06,3.42E-06,2.37E-06,1.50E-06,1.44E-06,1.25E-06,3.42E-06,2.12E-06,2.84E-06,0,3.76E-06,3.77E-06,1.33E-06
"1,3-Octadiene",6.47E-05,6.29E-05,7.82E-05,8.50E-05,8.82E-05,9.45E-05,9.91E-05,9.17E-05,9.92E-05,0.000107472,0.000102333,0.000109731,0.000127078,0.000118742,0.000104495,0.000141131,0.000134761,0.000160213
Persenone B,6.32E-05,6.12E-05,8.23E-05,9.65E-05,0.000109931,0.000116724,0.000117959,0.000107776,0.000114674,0.000137024,0.000137935,0.000154459,0.000179285,0.000181468,0.00013488,0.000192865,0.000179789,0.000202242
Isoleucyl-Threonine,1.57E-05,1.47E-05,1.42E-05,1.57E-05,1.43E-05,1.47E-05,1.38E-05,1.26E-05,1.37E-05,1.12E-05,9.91E-06,1.22E-05,1.28E-05,1.22E-05,1.22E-05,1.38E-05,1.33E-05,1.27E-05
Purpurenin,3.14E-05,2.88E-05,3.13E-05,3.52E-05,2.72E-05,2.83E-05,3.03E-05,2.65E-05,2.59E-05,1.87E-05,1.76E-05,1.81E-05,1.68E-05,2.13E-05,2.01E-05,1.92E-05,1.92E-05,1.94E-05
"5b-Cholestane-3a,7a,12a,23S,25-pentol",7.46E-06,6.53E-06,9.74E-06,9.52E-06,9.32E-06,9.44E-06,8.03E-06,7.89E-06,7.11E-06,6.04E-06,5.51E-06,4.01E-06,4.58E-06,6.30E-06,4.74E-06,7.00E-06,6.82E-06,6.66E-06
Prunasin,3.76E-06,3.49E-06,4.89E-06,7.62E-06,5.82E-06,3.37E-06,2.17E-06,4.91E-06,3.19E-06,3.89E-06,5.11E-06,4.14E-06,3.92E-06,4.69E-06,4.73E-06,3.72E-06,3.40E-06,3.43E-06
13-L-Hydroperoxylinoleic acid,1.51E-05,6.73E-06,1.92E-05,3.59E-05,3.58E-05,1.71E-05,1.90E-05,1.39E-05,1.11E-05,4.93E-06,3.69E-06,6.20E-06,3.68E-06,8.25E-06,2.72E-06,9.99E-06,9.51E-06,5.85E-06
15-Deacetylneosolaniol,1.55E-05,1.74E-05,1.33E-05,1.87E-05,1.74E-05,1.75E-05,1.46E-05,1.65E-05,1.29E-05,9.01E-06,8.99E-06,9.70E-06,8.45E-06,9.48E-06,1.10E-05,8.37E-06,8.48E-06,8.13E-06
1-Heptadecanoylglycerophosphoethanolamine,2.73E-05,3.21E-05,2.29E-05,2.30E-05,1.92E-05,3.19E-05,3.23E-05,3.52E-05,2.05E-05,2.21E-05,2.53E-05,1.68E-05,1.89E-05,2.09E-05,2.52E-05,2.33E-05,1.40E-05,1.55E-05
"Dimethyl 3-methoxy-4-oxo-5-(8,11,14-pentadecatrienyl)-2-hexenedioate",4.87E-07,0,0,2.92E-07,0,0,4.14E-07,0,0,0,0,0,0,0,0,0,0,0
1-Methylguanosine,5.25E-06,3.76E-06,4.13E-06,4.53E-06,2.85E-06,6.64E-06,5.53E-06,4.58E-06,2.69E-06,4.94E-06,6.20E-06,2.63E-06,2.99E-06,4.20E-06,4.66E-06,5.28E-06,5.51E-06,4.79E-06
Jasmine ketolactone,3.04E-06,2.62E-06,3.95E-06,1.38E-05,1.82E-05,5.85E-06,8.09E-06,7.16E-06,1.06E-05,1.42E-05,1.92E-05,1.74E-05,1.28E-05,2.05E-05,8.44E-06,1.86E-05,1.41E-05,1.50E-05
Tridihexethyl,0.00144208,0.000544314,0.000984596,0.000581223,0.000744842,0.000688508,0.000854652,0.000473318,0.000608901,0.000480988,0.000946804,0.00054391,0.000528018,0.000638462,0.00077098,0.001055799,0.000512893,0.000559737
Carbadox,2.21E-05,2.10E-05,1.55E-05,1.88E-05,3.62E-05,2.47E-05,2.36E-05,1.91E-05,2.24E-05,3.27E-05,2.71E-05,1.79E-05,2.20E-05,3.09E-05,2.62E-05,1.64E-05,1.55E-05,3.45E-05
O-methylmalonyl-L-carnitine,7.63E-05,9.79E-05,9.95E-05,8.73E-05,0.000106025,8.67E-05,7.62E-05,8.54E-05,7.47E-05,0.00010588,9.88E-05,9.75E-05,6.39E-05,0.000107888,9.59E-05,9.07E-05,7.76E-05,9.47E-05
Eplerenone,4.76E-05,6.80E-05,9.34E-05,7.90E-05,8.97E-05,5.38E-05,5.46E-05,6.43E-05,9.02E-05,6.23E-05,7.08E-05,6.02E-05,7.08E-05,0.000121909,6.94E-05,8.67E-05,8.38E-05,9.41E-05
4-Phenyl-3-buten-2-ol,4.52E-05,4.69E-05,3.91E-05,2.06E-05,2.83E-05,4.45E-05,5.01E-05,4.28E-05,5.15E-05,3.36E-05,3.32E-05,3.63E-05,2.68E-05,4.50E-05,3.79E-05,3.06E-05,4.30E-05,4.34E-05
Delphinidin 3-glucoside,6.38E-06,6.10E-06,6.73E-06,6.85E-06,8.22E-06,6.84E-06,5.61E-06,5.65E-06,4.82E-06,6.25E-06,7.00E-06,6.47E-06,4.21E-06,7.19E-06,4.82E-06,5.36E-06,4.41E-06,5.39E-06
Yayoisaponin C,8.36E-06,7.86E-06,1.09E-05,7.30E-06,4.94E-06,1.13E-05,2.13E-05,5.42E-06,7.22E-06,5.74E-06,7.79E-06,3.21E-06,3.34E-06,3.48E-06,4.98E-06,4.17E-06,7.10E-06,3.93E-06
Dehydrovomifoliol,8.11E-06,6.98E-06,8.71E-06,8.72E-06,8.64E-06,8.63E-06,8.43E-06,8.67E-06,7.61E-06,7.87E-06,6.73E-06,7.99E-06,7.54E-06,7.74E-06,6.40E-06,8.95E-06,7.99E-06,7.09E-06
Alectrol,2.04E-05,1.93E-05,2.24E-05,2.43E-05,1.94E-05,1.87E-05,2.09E-05,2.10E-05,2.20E-05,1.55E-05,1.53E-05,1.75E-05,1.78E-05,2.26E-05,1.44E-05,1.46E-05,1.88E-05,2.04E-05
Ginsenoside Rh7,3.18E-05,2.94E-05,3.05E-05,3.11E-05,2.73E-05,2.42E-05,3.21E-05,2.95E-05,2.04E-05,1.32E-05,1.29E-05,1.66E-05,1.25E-05,1.66E-05,1.62E-05,1.87E-05,1.32E-05,1.74E-05
N-Ornithyl-L-taurine,4.11E-06,2.61E-06,3.25E-06,3.10E-06,3.60E-06,3.61E-06,3.45E-06,3.04E-06,2.47E-06,1.83E-06,2.60E-06,1.95E-06,1.67E-06,2.30E-06,2.24E-06,2.22E-06,3.65E-06,3.21E-06
"1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-dodecanone]",2.37E-05,2.07E-05,3.51E-05,2.90E-05,2.93E-05,2.69E-05,2.09E-05,1.38E-05,1.19E-05,9.64E-06,8.59E-06,7.23E-06,2.87E-06,4.84E-06,9.59E-07,4.34E-06,1.50E-06,8.21E-07
Tubocurarine,1.99E-05,1.54E-05,1.51E-05,1.62E-05,1.61E-05,1.28E-05,1.28E-05,1.09E-05,9.55E-06,9.24E-06,9.17E-06,5.42E-06,9.45E-06,7.13E-06,7.62E-06,9.57E-06,9.94E-06,9.01E-06
Amifloxacin,6.22E-05,6.75E-05,6.67E-05,6.47E-05,5.74E-05,6.63E-05,6.15E-05,7.26E-05,6.07E-05,7.21E-05,6.76E-05,7.55E-05,7.44E-05,7.09E-05,6.59E-05,7.53E-05,8.23E-05,7.62E-05
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(5Z,8Z,11Z,14Z))",0.000110732,0.000109284,0.000124995,0.000143519,0.000129874,0.000128356,0.000134359,0.000140935,0.000170597,0.000205467,0.000207892,0.000243606,0.000281929,0.000276454,0.000230188,0.000224567,0.000183749,0.000124505
alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol,4.32E-06,3.95E-06,2.63E-06,3.92E-06,4.62E-06,4.72E-06,2.95E-06,4.37E-06,4.71E-06,3.33E-06,4.30E-06,4.99E-06,3.62E-06,4.78E-06,4.41E-06,4.25E-06,4.92E-06,4.81E-06
"2,3-Dinor-TXB2",8.29E-06,7.64E-06,8.62E-06,7.90E-06,5.83E-06,5.67E-06,5.84E-06,4.12E-06,5.03E-06,3.20E-06,2.81E-06,2.67E-06,3.08E-06,2.36E-06,1.61E-06,2.29E-06,1.81E-06,1.55E-06
DG(18:0/20:0/0:0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostaglandin F1a,1.64E-05,1.72E-05,2.23E-05,1.92E-06,3.09E-06,2.87E-05,1.02E-05,1.50E-05,8.34E-06,1.91E-06,1.12E-05,5.41E-05,2.25E-05,3.54E-05,5.18E-06,4.81E-05,4.94E-05,2.65E-05
Pentane,1.29E-05,1.20E-05,1.02E-05,1.88E-05,1.87E-05,1.50E-05,9.23E-06,1.34E-05,1.62E-05,6.53E-06,7.03E-06,4.25E-06,8.24E-06,6.25E-06,8.85E-06,7.70E-06,6.61E-06,6.21E-06
"(R)-2,3-Dihydro-3,5-dihydroxy-2-oxo-3-indoleacetic acid",1.10E-05,1.19E-05,2.37E-05,2.40E-05,4.53E-05,1.48E-05,1.23E-05,1.88E-05,1.19E-05,2.23E-05,2.45E-05,2.21E-05,1.58E-05,1.56E-05,1.62E-05,1.19E-05,1.82E-05,1.70E-05
Dihydroneopterin triphosphate,2.87E-06,2.66E-06,5.61E-06,1.78E-06,4.16E-06,4.48E-06,9.95E-06,1.86E-06,9.47E-07,5.69E-06,7.61E-06,4.92E-06,3.69E-06,5.23E-06,4.51E-06,6.39E-06,5.72E-06,5.04E-06
Myricanol 5-beta-sophoroside,5.36E-06,4.76E-06,3.22E-06,6.27E-06,1.13E-05,2.30E-06,7.90E-07,5.92E-06,4.69E-06,1.35E-05,2.17E-05,1.38E-06,2.84E-06,9.36E-06,5.35E-06,6.99E-06,2.73E-06,4.80E-06
LysoPC(22:1(13Z)),0.000199908,0.000152928,0.000127432,0.000176153,0.000169273,0.00016088,0.000143043,0.00023409,0.00016613,0.000180273,0.00024711,0.000205843,0.000250078,0.000205242,0.000304383,0.000202025,0.000241864,0.000225216
"1,2,10-Trihydroxydihydro-trans-linalyl oxide 7-O-beta-D-glucopyranoside",2.99E-05,2.44E-05,3.39E-05,2.87E-05,2.09E-05,2.63E-05,2.74E-05,2.19E-05,2.13E-05,1.89E-05,1.03E-05,1.55E-05,1.18E-05,1.87E-05,2.05E-05,1.66E-05,1.69E-05,1.50E-05
Peperinic acid,0.000195883,0.00018293,0.000210521,0.000212463,0.000209743,0.000213237,0.000215155,0.000191817,0.000208879,0.000191631,0.000200926,0.000181915,0.000205434,0.000195497,0.000200786,0.000216627,0.000220385,0.000200298
Eujambolin,6.00E-06,5.66E-06,8.34E-06,8.11E-06,4.82E-06,7.60E-06,1.03E-05,6.30E-06,3.93E-06,6.18E-06,3.08E-06,3.39E-06,4.18E-06,3.44E-06,4.79E-06,3.68E-06,5.95E-06,4.37E-06
Perilloside B,0.002507008,0.00237147,0.00305721,0.002964806,0.002900099,0.002952189,0.003115357,0.002778869,0.002876773,0.002727433,0.002523136,0.00268338,0.003040182,0.002838289,0.002466557,0.003265279,0.003292497,0.003036575
PC(14:1(9Z)/14:1(9Z)),2.00E-05,1.98E-05,2.27E-05,2.94E-05,3.18E-05,2.15E-05,1.72E-05,1.62E-05,1.00E-05,1.45E-05,1.84E-05,2.03E-05,1.44E-05,1.98E-05,1.64E-05,8.83E-05,3.24E-05,1.51E-05
"DG(16:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",3.64E-05,2.44E-05,2.94E-05,3.46E-05,3.91E-05,7.41E-05,5.19E-05,3.79E-05,4.40E-05,2.27E-05,1.51E-05,1.29E-05,1.16E-05,1.16E-05,5.64E-05,0.000147583,0.000111382,8.67E-05
Koenimbine,2.65E-05,2.63E-05,2.62E-05,2.66E-05,2.65E-05,2.75E-05,2.52E-05,2.47E-05,2.48E-05,2.49E-05,2.26E-05,2.39E-05,2.63E-05,2.65E-05,2.49E-05,2.70E-05,2.79E-05,2.62E-05
Irinotecan,8.27E-06,9.25E-06,9.62E-06,9.63E-06,8.70E-06,9.50E-06,9.37E-06,9.23E-06,8.18E-06,7.28E-06,8.69E-06,9.59E-06,8.57E-06,8.67E-06,6.71E-06,9.17E-06,8.64E-06,9.26E-06
"1alpha,3beta,22R-Trihydroxyergosta-5,24E-dien-26-oic acid 3-O-b-D-glucoside 26-O-[b-D-glucosyl-(1->2)-6-acetyl-b-D-glucosyl] ester",7.30E-06,5.49E-06,8.77E-06,1.44E-05,1.79E-05,1.46E-05,1.49E-05,1.03E-05,1.35E-05,1.45E-05,1.41E-05,1.51E-05,1.63E-05,1.70E-05,9.16E-06,1.80E-05,1.95E-05,1.46E-05
16-Oxoestrone,5.96E-06,5.95E-06,3.76E-06,2.14E-06,2.60E-06,5.61E-06,8.50E-06,5.12E-06,5.92E-06,1.07E-06,2.95E-06,3.63E-06,5.63E-07,4.08E-06,3.27E-06,1.91E-06,2.38E-06,2.77E-06
14-hydroxy-E4-neuroprostane,7.74E-06,7.36E-06,9.72E-06,9.60E-07,6.37E-07,8.39E-06,7.54E-06,7.11E-06,2.01E-06,3.52E-07,1.58E-06,3.34E-06,5.35E-06,4.18E-06,5.92E-07,2.13E-06,6.72E-06,2.05E-06
Farnesiferol B,7.11E-06,6.95E-06,6.01E-06,1.08E-05,1.84E-05,7.93E-06,6.78E-06,6.19E-06,4.12E-06,7.15E-07,6.93E-07,2.43E-07,1.51E-06,1.64E-06,1.97E-06,6.47E-07,0,6.93E-07
Ichangin 4-glucoside,2.51E-06,2.20E-06,3.59E-06,2.45E-06,2.43E-06,4.47E-06,4.65E-06,2.85E-06,2.96E-06,2.26E-06,2.69E-06,1.77E-06,2.23E-06,2.00E-06,2.21E-06,2.69E-06,3.19E-06,1.63E-06
Indoxyl sulfate,9.80E-06,7.56E-06,8.60E-06,1.64E-05,2.34E-05,8.07E-06,9.07E-06,1.19E-05,1.51E-05,1.42E-05,2.03E-05,9.01E-06,7.44E-06,1.01E-05,8.93E-06,8.22E-06,8.92E-06,1.08E-05
LysoPC(16:1(9Z)),0.028141604,0.024561246,0.021049602,0.02446469,0.016879548,0.024749739,0.030588408,0.029197114,0.025167465,0.019899537,0.022874388,0.019515884,0.013603982,0.017125939,0.026014009,0.015129832,0.013194777,0.01495465
"Octahydro-2,5,5,8a-tetramethyl-7H-1-benzopyran-7-one",0.00029443,0.000196857,0.00042724,0.00030586,0.000385771,0.000481517,0.00030449,0.000314139,0.000248446,0.000266583,0.000467348,0.000313512,0.000283011,0.000304395,0.000419463,0.000525474,0.000231571,0.000208417
5-Fluorouridine monophosphate,1.45E-05,1.94E-05,2.17E-05,3.83E-05,4.11E-05,1.32E-05,1.88E-05,2.07E-05,4.74E-05,2.42E-05,4.59E-05,1.81E-05,2.21E-05,1.88E-05,2.12E-05,2.52E-05,2.56E-05,3.01E-05
Dihydrocycloartomunin,6.19E-06,8.79E-06,5.71E-06,6.68E-06,1.22E-05,6.96E-06,7.67E-06,6.80E-06,9.85E-06,1.97E-05,1.13E-05,6.83E-06,9.12E-05,0.000204026,7.29E-06,0.000913795,3.08E-05,1.84E-05
Ceanothenic acid,1.30E-05,1.36E-05,9.90E-06,1.14E-05,1.01E-05,1.47E-05,1.51E-05,7.92E-06,1.07E-05,1.18E-05,8.66E-06,1.16E-05,1.37E-05,1.23E-05,1.40E-05,1.20E-05,1.42E-05,1.60E-05
Ethyl 2-benzylacetoacetate,1.00E-04,5.94E-05,0.000113351,0.000110452,0.000154325,0.000107729,0.000104322,8.59E-05,7.61E-05,6.66E-05,0.000111729,6.29E-05,6.29E-05,7.01E-05,7.08E-05,7.32E-05,6.10E-05,7.36E-05
4-Hydroxydehydromyoporone,1.02E-05,9.97E-06,7.17E-06,1.89E-05,7.99E-06,6.82E-06,1.11E-05,2.19E-06,3.48E-05,1.46E-05,2.27E-05,5.12E-06,1.64E-05,7.58E-06,1.65E-05,2.21E-05,8.49E-06,4.04E-06
ent-16-Kauren-19-ol acetate,0.00013319,0.000116901,0.000124889,2.09E-05,3.66E-05,0.000102734,0.00016176,0.000101282,8.45E-05,5.61E-05,7.70E-05,8.21E-05,3.78E-05,9.86E-05,0.00011863,4.27E-05,7.13E-05,0.000104541
Cidofovir,5.15E-06,5.42E-06,1.75E-06,8.87E-06,1.46E-05,6.82E-06,4.43E-06,6.61E-06,7.63E-06,1.17E-05,1.09E-05,3.95E-06,4.76E-06,8.42E-06,5.37E-06,3.37E-06,3.51E-06,7.90E-06
Suprofen,1.91E-05,1.92E-05,2.82E-05,3.09E-05,2.63E-05,2.52E-05,1.55E-05,2.35E-05,1.93E-05,2.32E-05,2.12E-05,3.02E-05,2.78E-05,3.53E-05,3.48E-05,1.81E-05,2.27E-05,2.56E-05
Oxazepam,2.91E-06,1.26E-06,9.29E-07,6.80E-06,1.02E-05,4.35E-06,1.98E-06,3.40E-06,1.63E-06,3.08E-07,0,4.52E-07,2.11E-07,8.87E-08,1.24E-07,7.51E-07,4.73E-07,0
Tragopogonsaponin G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manglupenone,5.26E-05,4.01E-05,6.39E-05,4.02E-05,5.39E-05,6.23E-05,7.69E-05,3.58E-05,2.73E-05,2.27E-05,2.88E-05,7.63E-05,3.08E-05,8.52E-05,8.18E-05,0.000123174,0.000136101,5.92E-05
"2,3-Dihydroxy-2,4-cyclopentadien-1-one",8.81E-06,8.64E-06,9.86E-06,9.43E-06,1.02E-05,9.79E-06,1.02E-05,8.72E-06,1.00E-05,9.82E-06,8.41E-06,9.95E-06,9.01E-06,9.80E-06,8.04E-06,1.04E-05,9.92E-06,9.91E-06
1-(11Z-docosenoyl)-glycero-3-phosphate,4.38E-05,3.80E-05,4.65E-05,5.51E-05,4.61E-05,4.29E-05,4.34E-05,3.76E-05,3.70E-05,2.99E-05,2.84E-05,2.56E-05,2.37E-05,2.80E-05,3.06E-05,3.19E-05,2.93E-05,2.93E-05
5-phospho-beta-D-ribosylaminium(1-),6.04E-06,5.15E-06,5.40E-06,3.97E-06,3.91E-06,4.55E-06,4.77E-06,4.43E-06,4.42E-06,3.36E-06,3.58E-06,3.72E-06,3.41E-06,4.33E-06,4.58E-06,3.71E-06,4.60E-06,4.17E-06
[10]-Dehydroshogaol,6.00E-06,6.79E-06,6.15E-06,5.36E-06,6.95E-06,4.12E-06,5.85E-06,6.91E-06,4.40E-06,2.78E-06,6.14E-06,1.92E-06,2.17E-06,6.03E-06,5.98E-06,3.58E-06,7.51E-06,4.08E-06
"PS(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))",7.16E-05,8.51E-05,6.50E-05,0.000105349,7.93E-05,7.86E-05,7.66E-05,9.41E-05,7.01E-05,0.000116997,0.00011349,0.000107135,0.000120178,0.000113061,0.000129775,0.000113985,0.000114232,0.000124255
Physapubescin,2.59E-05,5.09E-05,2.45E-05,1.43E-05,8.11E-06,2.46E-05,1.63E-05,3.26E-05,8.68E-06,1.33E-05,1.58E-05,1.12E-05,4.35E-06,1.33E-05,1.85E-05,9.53E-06,4.95E-06,5.08E-06
Furanogermenone,0.000173501,0.000120503,0.00023918,0.000184174,0.000213279,0.000252192,0.000171893,0.000173346,0.000139413,0.000137483,0.000228566,0.000160416,0.000145667,0.000154356,0.000203422,0.000247627,0.000117495,0.000105292
Pentacarboxyl porphyrinogen III,1.75E-06,1.24E-06,6.87E-06,5.00E-05,5.15E-07,1.51E-05,1.18E-07,4.13E-06,1.65E-06,0,2.14E-06,2.83E-05,4.29E-06,2.10E-06,1.22E-06,5.86E-05,2.47E-05,0
Tuberoside,1.25E-05,1.22E-05,1.63E-05,1.44E-05,2.20E-05,1.82E-05,2.58E-05,2.16E-05,1.82E-05,1.50E-05,1.56E-05,2.08E-05,2.35E-05,3.81E-05,1.73E-05,3.47E-05,2.52E-05,1.94E-05
Apiosylglucosyl 4-hydroxybenzoate,7.06E-06,6.26E-06,5.52E-06,7.20E-06,7.89E-06,7.60E-06,7.45E-06,8.09E-06,8.12E-06,6.96E-06,3.90E-06,3.16E-06,1.06E-05,7.19E-06,3.91E-06,6.87E-06,9.01E-06,7.50E-06
3-(1-Hydroxymethyl-1-propenyl)pentanedioic acid,5.68E-05,6.06E-05,4.03E-05,6.63E-05,0.000117431,4.02E-05,2.96E-05,6.20E-05,6.25E-05,0.000141609,0.000220726,4.31E-05,4.56E-05,8.05E-05,7.33E-05,6.78E-05,4.25E-05,9.69E-05
Sinapine,0.00073473,0.000559412,0.000817315,0.000589915,0.000436633,0.000511359,0.000725397,0.000515329,0.000523413,0.000408655,0.000347485,0.000422153,0.000324938,0.000394307,0.000426491,0.000383626,0.000445209,0.000420278
2-hydroxyflutamide,9.75E-06,1.16E-05,7.32E-06,1.35E-05,2.45E-05,7.43E-06,8.33E-06,1.04E-05,1.26E-05,2.16E-05,1.90E-05,1.10E-05,1.21E-05,1.53E-05,1.71E-05,1.00E-05,9.60E-06,1.45E-05
Aldosterone 18-glucuronide,8.36E-06,1.34E-05,5.20E-06,1.39E-05,9.03E-06,1.29E-05,4.89E-06,8.30E-06,8.76E-06,6.88E-06,7.40E-06,1.15E-06,6.33E-06,3.29E-06,4.22E-06,3.89E-06,3.36E-07,9.50E-07
Glutaminyl-Glutamine,0.000563255,0.000517047,0.000612663,0.000561378,0.000602199,0.000618112,0.000625129,0.000520327,0.000568831,0.000517749,0.000497797,0.000509249,0.000571265,0.000540626,0.000460308,0.000568026,0.000597358,0.000557545
Hexyl 2-furoate,3.59E-05,3.63E-05,2.92E-05,1.62E-05,2.15E-05,3.40E-05,3.87E-05,3.30E-05,4.07E-05,2.57E-05,2.45E-05,2.69E-05,2.05E-05,3.36E-05,2.87E-05,2.34E-05,3.21E-05,3.30E-05
